DATE,CANA
2005-01-01,14907.166666666666
2005-04-01,14989.833333333334
2005-07-01,15098.800000000001
2005-10-01,15184.666666666666
2006-01-01,15241.766666666668
2006-04-01,15310.1
2006-07-01,15366.6
2006-10-01,15386.033333333333
2007-01-01,15437.233333333332
2007-04-01,15445.6
2007-07-01,15490.733333333332
2007-10-01,15474.366666666667
2008-01-01,15433.733333333332
2008-04-01,15401.066666666666
2008-07-01,15300.333333333334
2008-10-01,15065.800000000001
2009-01-01,14741.566666666666
2009-04-01,14487.733333333332
2009-07-01,14274.6
2009-10-01,14244.633333333333
2010-01-01,14200.033333333333
2010-04-01,14309.533333333333
2010-07-01,14281.433333333334
2010-10-01,14334.5
2011-01-01,14373.233333333332
2011-04-01,14399.966666666667
2011-07-01,14459.199999999999
2011-10-01,14513.733333333332
2012-01-01,14627.333333333334
2012-04-01,14718.5
2012-07-01,14805.166666666666
2012-10-01,14896.733333333332
2013-01-01,15000.933333333334
2013-04-01,15104.466666666667
2013-07-01,15196.4
2013-10-01,15303.5
2014-01-01,15413.733333333332
2014-04-01,15523.5
2014-07-01,15619.066666666666
2014-10-01,15741.533333333335
2015-01-01,15848.966666666667
2015-04-01,15962.366666666667
2015-07-01,16131.366666666667
2015-10-01,16253.633333333333
2016-01-01,16328.966666666665
2016-04-01,16439.600000000002
2016-07-01,16538.033333333336
2016-10-01,16609.833333333332
2017-01-01,16676.066666666666
2017-04-01,16795.0
2017-07-01,16871.5
2017-10-01,16967.566666666666
2018-01-01,17072.366666666665
2018-04-01,17133.733333333334
2018-07-01,17200.8
2018-10-01,17286.466666666664
2019-01-01,17333.533333333336
2019-04-01,17389.866666666665
2019-07-01,17465.399999999998
2019-10-01,17540.600000000002
2020-01-01,17600.866666666665
2020-04-01,15212.266666666668
2020-07-01,15793.033333333333
2020-10-01,16135.933333333334
2021-01-01,16184.133333333333
2021-04-01,16594.399999999998
2021-07-01,16946.566666666666
2021-10-01,17266.833333333332
2022-01-01,17461.899999999998
2022-04-01,17655.066666666666
2022-07-01,17781.233333333334
2022-10-01,17876.433333333334
