,RMSE,MAE,R-squared
trad_model,438748.5557887182,378882.67350038385,-1.8817921148016081
alt_model,586056.9030628402,516766.2351179668,-4.141748386213288
all_model,535992.9358167709,470493.8636948529,-3.3008013230362447
