date,disposable_income
1997,761912.3
1998,823205.4
1999,871455.6
2000,940093.7
2001,993284.3
2002,1043637.2
2003,1100925.0
2004,1167986.8
2005,1216946.7
2006,1306084.3
2007,1357421.3
2008,1382790.7
2009,1379342.6
2010,1435868.9
2011,1506444.4
2012,1602913.5
2013,1603552.4
2014,1704446.4
2015,1815222.7
2016,1899055.0
2017,1984643.0
2018,2078193.3
2019,2198931.7
2020,2403799.4
2021,2527817.9
2022,2467398.6
