Mês,Housing bubble: (Califórnia),pandemic unemployment assistance california: (Califórnia),California Paid Family Leave  PFL: (Califórnia),Unemployment benefits: (Califórnia),Recession: (Califórnia)
2005-01-01,11.333333333333334,0.0,0.0,5.333333333333333,2.6666666666666665
2005-04-01,21.666666666666668,0.3333333333333333,0.0,5.0,4.666666666666667
2005-07-01,30.0,0.0,0.0,5.0,4.0
2005-10-01,20.0,0.0,0.0,3.6666666666666665,3.3333333333333335
2006-01-01,18.333333333333332,0.0,0.0,3.6666666666666665,2.3333333333333335
2006-04-01,20.0,0.0,0.0,4.0,2.3333333333333335
2006-07-01,17.666666666666668,0.0,0.0,5.0,5.0
2006-10-01,12.666666666666666,0.0,0.6666666666666666,4.333333333333333,4.0
2007-01-01,12.666666666666666,0.0,0.3333333333333333,3.6666666666666665,5.0
2007-04-01,10.0,0.6666666666666666,0.0,6.333333333333333,3.3333333333333335
2007-07-01,11.666666666666666,0.0,0.3333333333333333,5.333333333333333,5.666666666666667
2007-10-01,10.0,0.0,0.0,6.0,9.666666666666666
2008-01-01,9.666666666666666,0.0,0.0,7.666666666666667,27.666666666666668
2008-04-01,7.333333333333333,0.0,0.0,8.666666666666666,16.0
2008-07-01,5.666666666666667,0.0,0.0,9.0,13.333333333333334
2008-10-01,5.0,0.3333333333333333,0.3333333333333333,17.0,31.666666666666668
2009-01-01,4.333333333333333,0.0,0.3333333333333333,23.333333333333332,30.0
2009-04-01,3.0,0.0,0.3333333333333333,13.666666666666666,19.0
2009-07-01,2.6666666666666665,0.0,0.0,14.666666666666666,15.666666666666666
2009-10-01,2.6666666666666665,0.3333333333333333,0.0,16.0,14.0
2010-01-01,2.6666666666666665,0.0,0.0,14.0,10.0
2010-04-01,3.0,0.0,0.0,15.0,9.333333333333334
2010-07-01,2.0,0.0,0.0,12.333333333333334,8.0
2010-10-01,2.0,0.0,0.0,9.666666666666666,8.0
2011-01-01,2.6666666666666665,0.0,0.0,10.666666666666666,8.333333333333334
2011-04-01,3.0,0.0,0.0,10.333333333333334,9.333333333333334
2011-07-01,2.0,0.0,0.0,12.333333333333334,13.0
2011-10-01,2.0,0.0,0.0,10.0,9.666666666666666
2012-01-01,2.0,0.0,0.0,9.666666666666666,7.666666666666667
2012-04-01,1.6666666666666667,0.0,0.0,9.666666666666666,8.666666666666666
2012-07-01,1.6666666666666667,0.0,0.0,9.0,7.0
2012-10-01,1.3333333333333333,0.0,0.0,9.666666666666666,8.0
2013-01-01,2.3333333333333335,0.0,0.0,8.666666666666666,6.333333333333333
2013-04-01,2.6666666666666665,0.0,0.0,8.666666666666666,6.333333333333333
2013-07-01,3.0,0.0,0.0,7.666666666666667,4.666666666666667
2013-10-01,2.6666666666666665,0.0,0.0,9.0,5.666666666666667
2014-01-01,2.3333333333333335,0.0,0.0,19.333333333333332,6.0
2014-04-01,3.0,0.0,0.0,12.333333333333334,6.333333333333333
2014-07-01,3.3333333333333335,0.0,0.0,7.0,5.0
2014-10-01,2.3333333333333335,0.0,0.0,6.333333333333333,6.666666666666667
2015-01-01,2.6666666666666665,0.0,0.0,6.0,6.666666666666667
2015-04-01,3.0,0.0,0.0,5.0,6.666666666666667
2015-07-01,3.0,0.0,0.0,5.333333333333333,6.333333333333333
2015-10-01,2.6666666666666665,0.0,0.0,4.666666666666667,7.333333333333333
2016-01-01,3.3333333333333335,0.0,0.0,5.333333333333333,10.0
2016-04-01,3.6666666666666665,0.0,0.0,5.0,9.333333333333334
2016-07-01,3.3333333333333335,0.0,0.0,4.666666666666667,6.666666666666667
2016-10-01,2.3333333333333335,0.0,0.0,4.333333333333333,9.0
2017-01-01,2.3333333333333335,0.0,0.0,5.0,8.333333333333334
2017-04-01,3.3333333333333335,0.0,0.0,4.333333333333333,8.333333333333334
2017-07-01,3.3333333333333335,0.0,0.0,4.0,6.333333333333333
2017-10-01,2.0,0.0,0.0,4.333333333333333,7.333333333333333
2018-01-01,2.3333333333333335,0.0,0.0,4.333333333333333,8.666666666666666
2018-04-01,2.6666666666666665,0.0,0.0,4.0,10.333333333333334
2018-07-01,3.0,0.0,0.0,4.333333333333333,9.666666666666666
2018-10-01,2.0,0.0,0.0,4.0,14.0
2019-01-01,1.3333333333333333,0.0,0.0,5.0,13.333333333333334
2019-04-01,1.6666666666666667,0.0,0.0,4.333333333333333,12.666666666666666
2019-07-01,1.3333333333333333,0.0,0.0,4.0,29.666666666666668
2019-10-01,1.3333333333333333,0.0,0.0,4.333333333333333,14.666666666666666
2020-01-01,1.0,0.6666666666666666,0.0,28.333333333333332,33.666666666666664
2020-04-01,1.3333333333333333,4.666666666666667,0.0,65.66666666666667,25.666666666666668
2020-07-01,1.0,2.3333333333333335,0.0,55.333333333333336,9.666666666666666
2020-10-01,1.0,1.0,0.0,28.666666666666668,8.666666666666666
2021-01-01,1.3333333333333333,1.3333333333333333,0.0,34.0,7.666666666666667
2021-04-01,1.6666666666666667,1.0,0.0,20.666666666666668,6.666666666666667
2021-07-01,1.6666666666666667,0.6666666666666666,0.0,16.666666666666668,5.333333333333333
2021-10-01,1.0,0.0,0.0,8.0,7.333333333333333
2022-01-01,2.0,0.0,0.0,7.333333333333333,15.0
2022-04-01,2.6666666666666665,0.0,0.0,6.0,54.333333333333336
2022-07-01,1.0,0.0,0.0,5.666666666666667,45.0
2022-10-01,0.6666666666666666,0.0,0.0,6.0,34.0
