,RMSE,MAE,R-squared
trad_model,434076.1272998855,373044.37039899325,-1.8207399691683634
alt_model,432341.80139448104,355377.50223293307,-1.798244793421012
all_model,517079.592596355,452257.0993202577,-3.002635517391565
