date,search_hous_bubble,search_pand_assist,search_pfl,search_recession,search_unemp,us_consumer_sentiment,mob_leisure,mob_groc_pharm,mob_parks,mob_transit,mob_workplaces,mob_residential,gdp
2016-04-01,3.6667,0.0000,0.0000,9.3333,5.0000,92.40,,,,,,,2546150.8
2016-07-01,3.3333,0.0000,0.0000,6.6667,4.6667,90.33,,,,,,,2586282.9
2016-10-01,2.3333,0.0000,0.0000,9.0000,4.3333,93.07,,,,,,,2612779.4
2019-01-01,1.3333,0.0000,0.0000,13.3333,5.0000,94.47,,,,,,,2970816.1
2019-04-01,1.6667,0.0000,0.0000,12.6667,4.3333,98.47,,,,,,,3028633.1
2021-01-01,1.3333,1.3333,0.0000,7.6667,34.0000,80.23,-21.962792,-10.148420,-9.084249,-33.968847,-28.401970,10.155331,3225265.8
2021-07-01,1.6667,0.6667,0.0000,5.3333,16.6667,74.77,-3.890128,2.993208,23.681255,-22.607630,-25.248889,5.046767,3416146.0
2021-10-01,1.0000,0.0000,0.0000,7.3333,8.0000,69.90,-8.080903,-0.308904,-5.576222,-26.968262,-24.786307,6.004712,3520134.9
2005-04-01,21.6667,0.3333,0.0000,4.6667,5.0000,90.20,,,,,,,1680340.0
2005-07-01,30.0000,0.0000,0.0000,4.0000,5.0000,87.50,,,,,,,1715935.1
2008-10-01,5.0000,0.3333,0.3333,31.6667,17.0000,57.67,,,,,,,1917821.8
2009-01-01,4.3333,0.0000,0.3333,30.0000,23.3333,58.27,,,,,,,1910813.6
2011-01-01,2.6667,0.0000,0.0000,8.3333,10.6667,73.07,,,,,,,2007608.8
2009-04-01,3.0000,0.0000,0.3333,19.0000,13.6667,68.20,,,,,,,1881658.2
2007-01-01,12.6667,0.0000,0.3333,5.0000,3.6667,92.20,,,,,,,1855811.4
2007-04-01,10.0000,0.6667,0.0000,3.3333,6.3333,86.90,,,,,,,1883992.9
2007-07-01,11.6667,0.0000,0.3333,5.6667,5.3333,85.73,,,,,,,1910858.6
2008-07-01,5.6667,0.0000,0.0000,13.3333,9.0000,64.83,,,,,,,1976074.2
2009-07-01,2.6667,0.0000,0.0000,15.6667,14.6667,68.40,,,,,,,1876005.3
2007-10-01,10.0000,0.0000,0.0000,9.6667,6.0000,77.50,,,,,,,1944945.1
